Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.020612699910998344,0.0354216992855072,19.28637900017202,z,19.24730939976871,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
,,,,,,,,,,,,,,,,,19.28644989989698,34.584654899314046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
gesicht1,0,0,0,8,,,,,34.70072939991951,,,,,,,,,,34.5920802988112,34.70072939991951,36.700571900233626,37.600546699017286,3.0160455014556646,38.66965759918094,"[-300, 300]",[-0.23055555555555557],[0.25462962962962965],[1],[0],[0],[1.0682882014662027],[1],['target_find'],38.67157579958439,39.68507589958608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
spinne1,0,1,1,0,,,,,39.73390149883926,,,,,,,,,,39.68586160056293,39.73390149883926,41.73391759954393,42.73374509997666,3.0487379003316164,45.13530020043254,"[300, -300]",[0.24351851851851852],[-0.26851851851851855],[1],[0],[0],[2.400994300842285],[1],['target_find'],45.13584000058472,46.15083030052483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
gesicht2,0,2,2,9,,,,,46.20000319927931,,,,,,,,,,46.15111199952662,46.20000319927931,48.200124599039555,49.16695920005441,3.016218900680542,50.11925099976361,"[0, 300]",[0.058333333333333334],[0.1962962962962963],[1],[0],[0],[0.9516136012971401],[1],['target_find'],50.120120299980044,51.13422649912536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
flugzeug1,0,3,3,13,,,,,51.16667930036783,,,,,,,,,,51.13471579924226,51.16667930036783,53.16656949929893,54.16691649891436,3.033000100404024,55.08652859926224,"[0, 300]",[0.03518518518518519],[0.21388888888888888],[1],[0],[0],[0.9187895003706217],[1],['target_find'],55.087072199210525,56.10078129917383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
person2,0,4,4,5,,,,,56.14984989911318,,,,,,,,,,56.10137999989092,56.14984989911318,58.14967739954591,59.14964379929006,3.048963600769639,60.26924579963088,"[0, -300]",[0.044444444444444446],[-0.21203703703703702],[1],[0],[0],[1.1187654994428158],[1],['target_find'],60.27044709958136,61.284119199961424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
gruppe2,0,5,5,7,,,,,61.3164045996964,,,,,,,,,,61.2847137991339,61.3164045996964,63.31643459945917,64.31639060005546,3.0325499009341,65.93588979914784,"[300, 300]",[0.26944444444444443],[0.20462962962962963],[1],[0],[0],[1.6184294000267982],[1],['target_find'],65.93707749992609,66.95028759911656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
zug1,0,6,6,15,,,,,66.9828635994345,,,,,,,,,,66.95079210028052,66.9828635994345,68.98282730020583,69.98293229937553,3.032970901578665,71.019894098863,"[-300, 300]",[-0.19814814814814816],[0.2388888888888889],[1],[0],[0],[1.0355797000229359],[1],['target_find'],71.02134330011904,72.0333711002022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
person1,0,7,7,4,,,,,72.06608919985592,,,,,,,,,,72.03387250006199,72.06608919985592,74.06596579961479,75.04940939880908,3.016330098733306,76.2679701987654,"[300, 300]",[0.2611111111111111],[0.2388888888888889],[1],[0],[0],[1.2175352983176708],[1],['target_find'],76.26889859884977,77.28320430032909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264035,001,2023-11-06_13h05.29.117,Selektive Wahrnehmung,2023.2.3,60.02112737411429,2023-11-06 13h06.27.910009 +0100,
