Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,target_find.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.004684826359152794,0.012687429785728455,36.679819924756885,z,36.6623629052192,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
,,,,,,,,,,,,,,,,,36.67984410189092,54.76467129774392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
zug1,0,0,0,15,,,,,54.80488029681146,,,,,,,,,,54.78032464534044,54.80488029681146,56.81274010799825,57.78088784776628,3.0163411367684603,58.797479297965765,"[0, -300]",[-0.014814814814814815],[-0.3574074074074074],[1],[0],[0],[1.0159525834023952],[1],['target_find'],58.79847542755306,59.81311301700771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
person1,0,1,1,4,,,,,59.8375739492476,,,,,,,,,,59.81336674280465,59.8375739492476,61.84584535472095,62.81269488111138,2.999712424352765,63.73077216371894,"[300, 300]",[0.22592592592592592],[0.1962962962962963],[1],[0],[0],[0.9174332953989506],[1],['target_find'],63.73129184730351,64.74722622521222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
person2,0,2,2,5,,,,,64.77797995693982,,,,,,,,,,64.74780734814703,64.77797995693982,66.77957200072706,67.76286193728447,3.015796422958374,68.73040039278567,"[-300, -300]",[-0.20185185185185187],[-0.1824074074074074],[1],[0],[0],[0.966918932273984],[1],['target_find'],68.73090101778507,69.74667866714299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
schlange1,0,3,3,2,,,,,69.77179098129272,,,,,,,,,,69.7470054961741,69.77179098129272,71.77951909415424,72.74615585617721,2.999623393639922,74.13040568307042,"[300, 300]",[0.25925925925925924],[0.20462962962962963],[1],[0],[0],[1.3836428187787533],[1],['target_find'],74.13089123181999,75.14708047546446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
gesicht4,0,4,4,11,,,,,75.17684348113835,,,,,,,,,,75.14766558073461,75.17684348113835,77.17960857972503,78.14607894234359,2.9991520661860704,79.16468967311084,"[300, 0]",[0.2564814814814815],[0.07314814814814814],[1],[0],[0],[1.017982106655836],[1],['target_find'],79.16527733951807,80.1803194116801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
gruppe1,0,5,5,6,,,,,80.20440515875816,,,,,,,,,,80.1808476280421,80.20440515875816,82.21276787109673,83.17928232066333,2.999059906229377,84.0641607735306,"[-300, -300]",[-0.2962962962962963],[-0.26851851851851855],[1],[0],[0],[0.8843035884201527],[1],['target_find'],84.06463409215212,85.08012160658836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
gesicht3,0,6,6,10,,,,,85.11303684301674,,,,,,,,,,85.0806000456214,85.11303684301674,87.11301323398948,88.07931292802095,2.9992786440998316,88.94722673855722,"[300, 0]",[0.20092592592592592],[-0.05555555555555555],[1],[0],[0],[0.8674057889729738],[1],['target_find'],88.9477265086025,89.96340517140925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
auto1,0,7,7,12,,,,,90.22179049812257,,,,,,,,,,89.96382017806172,90.22179049812257,92.22951462864876,92.96378974243999,3.0005361810326576,94.0984407812357,"[-300, -300]",[-0.17685185185185184],[-0.28888888888888886],[1],[0],[0],[1.1340491510927677],[1],['target_find'],94.09892576187849,95.11359236575663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
flugzeug1,0,8,8,13,,,,,95.40118147619069,,,,,,,,,,95.11407535523176,95.40118147619069,97.41287362761796,98.11819840036333,3.004861181601882,99.89813761971891,"[0, 300]",[0.025],[0.18425925925925926],[1],[0],[0],[1.7791959624737501],[1],['target_find'],99.8986592926085,100.91359668970108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
schlange2,0,9,9,3,,,,,101.14485952071846,,,,,,,,,,100.91413116268814,101.14485952071846,103.14623993821442,103.91286225058138,2.99934065528214,105.56407885439694,"[300, 300]",[0.21944444444444444],[0.19814814814814816],[1],[0],[0],[1.6506784316152334],[1],['target_find'],105.56462811864913,106.58023652434349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
schiff1,0,10,10,14,,,,,106.64636168070138,,,,,,,,,,106.58064498752356,106.64636168070138,108.64627691544592,109.57969692908227,2.9996029138565063,110.48093216493726,"[-300, -300]",[-0.34629629629629627],[-0.3333333333333333],[1],[0],[0],[0.9006273746490479],[1],['target_find'],110.48140263743699,111.49759700149298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
gruppe2,0,11,11,7,,,,,111.60987494140863,,,,,,,,,,111.49815394729376,111.60987494140863,113.613126443699,114.51344462484121,3.0159201584756374,115.21420659869909,"[-300, 0]",[-0.23981481481481481],[0.004629629629629629],[1],[0],[0],[0.7002257946878672],[1],['target_find'],115.21467621810734,116.23029571585357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
spinne1,0,12,12,0,,,,,116.26093566976488,,,,,,,,,,116.23071328364313,116.26093566976488,118.26300472952425,119.23045074008405,3.000287290662527,120.03122761845589,"[300, 0]",[0.30092592592592593],[0.010185185185185186],[1],[0],[0],[0.8001101370900869],[1],['target_find'],120.03184515051544,121.04744331538677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
spinne2,0,13,13,1,,,,,121.44948779977858,,,,,,,,,,121.04809697158635,121.44948779977858,123.46298020891845,124.06330345384777,2.999004155397415,124.79771254397929,"[-300, -300]",[-0.26296296296296295],[-0.2064814814814815],[1],[0],[0],[0.7504902426153421],[1],['target_find'],124.79818699881434,125.81361364200711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
gesicht1,0,14,14,8,,,,,125.9133014343679,,,,,,,,,,125.81402409821749,125.9133014343679,127.91328180767596,128.81389012373984,3.000448003411293,129.44767815433443,"[-300, -300]",[-0.22407407407407406],[-0.23981481481481481],[1],[0],[0],[0.6331770401448011],[1],['target_find'],129.44817650318146,130.46375731565058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
gesicht2,0,15,15,9,,,,,130.49498351104558,,,,,,,,,,130.46417943388224,130.49498351104558,132.4969959668815,133.4688463397324,3.0052776113152504,134.53112152032554,"[300, 300]",[0.30277777777777776],[0.26944444444444443],[1],[0],[0],[1.0616186782717705],[1],['target_find'],134.53159910440445,135.5473483093083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
gesicht2,1,0,16,9,,,,,135.57096898928285,,,,,,,,,,135.54790838435292,135.57096898928285,137.5802410747856,138.5465754698962,2.999365970492363,139.5820959471166,"[0, -300]",[-0.08148148148148149],[-0.3388888888888889],[1],[0],[0],[1.0349410586059093],[1],['target_find'],139.5825695488602,140.59749812819064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
spinne1,1,1,17,0,,,,,140.62178668566048,,,,,,,,,,140.59809631854296,140.62178668566048,142.62984845414758,143.59633076190948,3.015579106286168,144.5144023541361,"[300, 300]",[0.21388888888888888],[0.18055555555555555],[1],[0],[0],[0.90085094794631],[1],['target_find'],144.51486998423934,145.5311838146299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
auto1,1,2,18,12,,,,,145.56986704468727,,,,,,,,,,145.5319068748504,145.56986704468727,147.57995549030602,148.54649013653398,3.015370322391391,149.2145655695349,"[-300, 0]",[-0.2657407407407407],[-0.007407407407407408],[1],[0],[0],[0.6675500608980656],[1],['target_find'],149.21503575891256,150.23066549561918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
gruppe2,1,3,19,7,,,,,150.2615119572729,,,,,,,,,,150.23113341070712,150.2615119572729,152.2637252304703,153.23321527056396,3.002796957269311,157.24669232033193,"[300, 0]",[],[],[],[],[],[],[],[],157.24729506112635,158.24733488447964,157.2465219385922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
schlange1,1,4,20,2,,,,,158.29017870686948,,,,,,,,,,158.24784745648503,158.29017870686948,160.29649426043034,161.24638284370303,2.9991219136863947,162.61476428247988,"[0, 300]",[0.062037037037037036],[0.3101851851851852],[1],[0],[0],[1.3678643181920052],[1],['target_find'],162.61523589491844,163.6305254343897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313766,001,2023-11-06_14h26.17.334,Selektive Wahrnehmung,2023.2.3,59.97137593999668,2023-11-06 14h27.02.651266 +0100,
