Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.00448938412591815,0.012822179356589913,915.5480643993942,a,915.5164324884536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
,,,,,,,,,,,,,,,,,915.5480897148373,915.5481170215644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
schlange1,0,0,0,2,,,,,920.5862132131588,,,,,,,,,,915.5564165367978,915.5829019972589,"[0, -300]",[],[],[],[],[],[],[],[],915.5838233123068,915.591947894427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht4,0,1,1,11,,,,,920.5862132131588,,,,,,,,,,915.5921481430996,915.6164715426276,"[300, -300]",[],[],[],[],[],[],[],[],915.6168882534839,915.6245688180206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
flugzeug1,0,2,2,13,,,,,920.5862132131588,,,,,,,,,,915.624768782407,915.9474605809664,"[300, 0]",[],[],[],[],[],[],[],[],915.9478610785445,915.9641483582091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
person1,0,3,3,4,,,,,920.5862132131588,,,,,,,,,,915.964428820298,916.0620071470039,"[0, 300]",[],[],[],[],[],[],[],[],916.0625416177791,916.0836220680503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
spinne2,0,4,4,1,,,,,920.5862132131588,,,,,,,,,,916.0838840411743,916.7247663077433,"[300, 300]",[],[],[],[],[],[],[],[],916.7252902541077,916.7468733174028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gruppe2,0,5,5,7,,,,,920.5862132131588,,,,,,,,,,916.7471341527998,916.8225807232084,"[300, 0]",[],[],[],[],[],[],[],[],916.8231041006511,916.8442357508466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht1,0,6,6,8,,,,,920.5862132131588,,,,,,,,,,916.8444812262896,916.9101321045309,"[0, -300]",[],[],[],[],[],[],[],[],916.9106076953467,916.9302764486056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
gesicht2,0,7,7,9,,,,,920.5862132131588,,,,,,,,,,916.9305375684053,916.9976684101857,"[-300, -300]",[],[],[],[],[],[],[],[],916.9982054410502,917.0199494997505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454577,001,2023-11-13_13h41.31.854,Selektive Wahrnehmung,2023.2.3,59.99404434098037,2023-11-13 14h20.12.230338 +0100,
