Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.004782200005138293,0.026508000009926036,404.4792696000077,a,404.43115739998757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
,,,,,,,,,,,,,,,,,404.479293899989,404.4793176999956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht3,0,0,0,10,,,,,407.6820844000031,,,,,,,,,,404.4855117999832,404.50293590000365,"[-300, 300]",[],[],[],[],[],[],[],[],404.5037033999979,404.508763299993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
zug1,0,1,1,15,,,,,407.6820844000031,,,,,,,,,,404.5089655999909,404.5903152000101,"[-300, 300]",[],[],[],[],[],[],[],[],404.59072119998746,404.5959631000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
person2,0,2,2,5,,,,,407.6820844000031,,,,,,,,,,404.5961449999886,404.6158029999933,"[-300, 300]",[],[],[],[],[],[],[],[],404.61619329999667,404.62132849998306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
flugzeug1,0,3,3,13,,,,,407.6820844000031,,,,,,,,,,404.62152489999426,404.6388167999976,"[-300, 0]",[],[],[],[],[],[],[],[],404.6392241999856,404.64562840000144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gruppe2,0,4,4,7,,,,,407.6820844000031,,,,,,,,,,404.6458117000002,404.66235299999244,"[-300, 0]",[],[],[],[],[],[],[],[],404.6627521000046,404.6684264999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
gesicht2,0,5,5,9,,,,,407.6820844000031,,,,,,,,,,404.6686187000014,404.68771929998184,"[300, 0]",[],[],[],[],[],[],[],[],404.6881178999902,404.697101400001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
person1,0,6,6,4,,,,,407.6820844000031,,,,,,,,,,404.69727639999473,404.71439089998603,"[-300, 300]",[],[],[],[],[],[],[],[],404.7153994999826,404.7239064000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
schlange1,0,7,7,2,,,,,407.6820844000031,,,,,,,,,,404.72409279999556,404.74316250000265,"[300, -300]",[],[],[],[],[],[],[],[],404.74375809999765,404.74945629999274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,901158,001,2023-11-13_13h56.45.609,Selektive Wahrnehmung,2023.2.2,60.754780949823186,2023-11-13 13h56.54.278748 +0100,
