Target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Data_transparency.started,key_resp_data_transp.started,Data_transparency.stopped,key_resp_data_transp.keys,key_resp_data_transp.rt,key_resp_data_transp.duration,instructions.started,instructions.stopped,trial.started,target_show.started,target_show.stopped,target_find.started,mouse.started,trial.stopped,target_position_x_y,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,feedback.started,feedback.stopped,instructions_survey.started,instructions_survey.stopped,instructions_ratings.started,instructions_ratings.stopped,survey_ratings.started,survey_ratings.stopped,furcht.response,liebenswert.response,rated_image,survey_gen.started,survey_gen.stopped,age.text,gender.response,survey_games.started,survey_games.stopped,pc_frequency.response,reaction_games_frequency.response,instructions_neuro.started,instructions_neuro.stopped,survey_neuro.started,survey_neuro.stopped,neuro_1_rev.response,neuro_2.response,neuro_3.response,neuro_4_rev.response,survey_fear.started,survey_fear.stopped,specific_fear_spider.response,specific_fear_snake.response,thanks.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,0.024180499836802483,0.039160100277513266,8.774743900168687,z,8.728287199977785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
,,,,,,,,,,,,,,,,,8.774799600243568,29.95758739998564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
gesicht3,0,0,0,10,,,,,30.09097129991278,,,,,,,,,,29.972925799898803,30.09097129991278,32.105814800132066,32.98803360015154,3.0306807002052665,34.09071800019592,"[300, 300]",[0.35],[0.24166666666666667],[1],[0],[0],[1.1019804999232292],[1],['target_find'],34.09171599987894,35.10522310016677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
person2,0,1,1,5,,,,,35.13783119991422,,,,,,,,,,35.10571540007368,35.13783119991422,37.137606400065124,38.13746090000495,3.0323150996118784,38.92370459996164,"[300, -300]",[0.23148148148148148],[-0.2638888888888889],[1],[0],[0],[0.7854748000390828],[1],['target_find'],38.92471639998257,39.94016660004854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
flugzeug1,0,2,2,13,,,,,39.99075279990211,,,,,,,,,,39.940923700109124,39.99075279990211,42.00548020005226,42.97093850001693,3.030860499944538,44.173589000012726,"[0, 300]",[0.05648148148148148],[0.24444444444444444],[1],[0],[0],[1.2017586999572814],[1],['target_find'],44.174759400077164,45.18837109999731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
spinne1,0,3,3,0,,,,,45.23729469999671,,,,,,,,,,45.18911290029064,45.23729469999671,47.23726169997826,48.237299100030214,3.049002700019628,49.39006330026314,"[0, -300]",[-0.04537037037037037],[-0.24166666666666667],[1],[0],[0],[1.1520332000218332],[1],['target_find'],49.391236199997365,50.405488800257444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
schlange1,0,4,4,2,,,,,50.44011430023238,,,,,,,,,,50.40600540023297,50.44011430023238,52.45493850018829,53.42047460004687,3.0152324996888638,54.12329600006342,"[-300, -300]",[-0.44074074074074077],[-0.3055555555555556],[1],[0],[0],[0.7018976998515427],[],[],54.12416120013222,55.13853200012818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
schiff1,0,5,5,14,,,,,55.1731338002719,,,,,,,,,,55.13903800025582,55.1731338002719,57.18812410021201,58.15332360006869,3.0148724000900984,59.1556702000089,"[-300, 300]",[-0.18981481481481483],[0.2537037037037037],[1],[0],[0],[1.0018539000302553],[1],['target_find'],59.15615489985794,60.170867499895394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
gesicht4,0,6,6,11,,,,,60.269943200051785,,,,,,,,,,60.171461100224406,60.269943200051785,62.269926900044084,63.219776399899274,2.9990575998090208,64.08862410020083,"[0, -300]",[0.003703703703703704],[-0.23981481481481481],[1],[0],[0],[0.9176964000798762],[1],['target_find'],64.089479399845,65.10501349996775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
zug1,0,7,7,15,,,,,65.1560697001405,,,,,,,,,,65.10562760010362,65.1560697001405,67.17104629985988,68.1360956998542,3.0311410003341734,69.18909730017185,"[-300, 300]",[-0.20925925925925926],[0.19907407407407407],[1],[0],[0],[1.0522320000454783],[1],['target_find'],69.1901631001383,70.2035831999965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903908,001,2023-11-06_13h32.07.227,Selektive Wahrnehmung,2023.2.3,59.9153636521983,2023-11-06 13h32.50.032028 +0100,
