WelcomeScreen.stopped,key_respWeiter.rt,slider.response,ThankYouScreen.stopped,CorrAns,frameRate,__participant,key_resp_2.rt,ShortQuiz.started,psychopyVersion,key_resp_2.keys,key_respWeitergehen.rt,Feedback.started,WelcomeScreen.started,date,ConfindentwithDecision.stopped,ShortQuiz.stopped,Zustimmung.rt,Symp,trialsZombies.thisN,trialsZombies.thisIndex,key_resp.rt,__datetime,ShortQuizQ2.started,Participant,blank500.stopped,ShortQuizQ1.started,ConfindentwithDecision.started,DiagnosisZombie.stopped,Zustimmung.keys,__session,InfoScreenWorld.stopped,OS,trialsZombies.thisRepN,DiagnosisZombie.started,ShortQuizQ1.stopped,blank500.started,session,key_respWeitergehen.keys,keySAntwortQ2.rt,InfoDiagnosisThemself.stopped,key_resp.keys,key_respWeiterDiagnosisthemself.rt,InfoDiagnosisThemself.started,key_resp_diagnosis.corr,keySAntwortQ2.keys,trialsZombies.thisTrialN,Feedback.stopped,key_respWeiterDiagnosisthemself.keys,key_resp_Feedback.rt,ShortQuizQ2.stopped,key_respWeiter.keys,ThankYouScreen.started,key_resp_diagnosis.keys,participant,__experimentName,expName,key_resp_Feedback.keys,InfoScreenDisease.started,CorrKey,InfoScreenDisease.stopped,trialsZombies.ran,key_resp_diagnosis.rt,images_zombie
9.837000000000003,NA,NA,NA,NA,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,NA,0.00100000000000477,2023-11-02_12h55.02.422,NA,NA,9.802,NA,NA,NA,NA,2023-11-02_12h54.07.504,NA,NA,NA,NA,NA,NA,space,001,NA,Win32,NA,NA,NA,NA,001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696929,Zombie_new,Zombie,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,NA,NA,2023-11-02_12h55.02.422,NA,NA,NA,NA,NA,NA,NA,2023-11-02_12h54.07.504,NA,NA,10.837000000000003,NA,NA,NA,NA,001,NA,Win32,NA,NA,NA,9.837000000000003,001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696929,Zombie_new,Zombie,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,60.02400960382895,696929,NA,NA,2023.2.2,NA,99.154,NA,NA,2023-11-02_12h55.02.422,NA,NA,NA,NA,NA,NA,NA,2023-11-02_12h54.07.504,NA,NA,NA,NA,NA,NA,NA,001,110.021,Win32,NA,NA,NA,NA,001,space,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696929,Zombie_new,Zombie,NA,NA,NA,NA,NA,NA,NA
NA,76.37,NA,NA,NA,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,NA,NA,2023-11-02_12h55.02.422,NA,NA,NA,NA,NA,NA,NA,2023-11-02_12h54.07.504,NA,NA,NA,NA,NA,NA,NA,001,NA,Win32,NA,NA,NA,NA,001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,space,NA,NA,696929,Zombie_new,Zombie,NA,110.021,NA,186.42200000000005,NA,NA,NA
NA,NA,NA,NA,NA,60.02400960382895,696929,NA,186.42200000000005,2023.2.2,NA,NA,NA,NA,2023-11-02_12h55.02.422,NA,192.605,NA,NA,NA,NA,6.150000000000006,2023-11-02_12h54.07.504,NA,NA,NA,NA,NA,NA,NA,001,NA,Win32,NA,NA,NA,NA,001,NA,NA,NA,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696929,Zombie_new,Zombie,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,60.02400960382895,696929,6.913999999999987,NA,2023.2.2,z,NA,NA,NA,2023-11-02_12h55.02.422,NA,NA,NA,NA,NA,NA,NA,2023-11-02_12h54.07.504,NA,NA,NA,192.605,NA,NA,NA,001,NA,Win32,NA,NA,199.537,NA,001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,696929,Zombie_new,Zombie,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,NA,NA,2023-11-02_12h55.02.422,NA,NA,NA,NA,NA,NA,NA,2023-11-02_12h54.07.504,199.538,NA,NA,NA,NA,NA,NA,001,NA,Win32,NA,NA,NA,NA,001,NA,4.932999999999964,NA,NA,NA,NA,NA,d,NA,NA,NA,NA,204.50399999999996,NA,NA,NA,696929,Zombie_new,Zombie,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,NA,NA,2023-11-02_12h55.02.422,NA,NA,NA,NA,NA,NA,NA,2023-11-02_12h54.07.504,NA,NA,NA,NA,NA,NA,NA,001,NA,Win32,NA,NA,NA,NA,001,NA,NA,235.488,NA,30.95999999999998,204.50399999999996,NA,NA,NA,NA,space,NA,NA,NA,NA,NA,696929,Zombie_new,Zombie,NA,NA,NA,NA,NA,NA,NA
NA,NA,33,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,272.772,NA,2023-11-02_12h55.02.422,272.772,NA,NA,"Juckreiz,Verstopfung",0,51,NA,2023-11-02_12h54.07.504,NA,54,NA,NA,263.606,263.60499999999996,NA,001,NA,Win32,0,235.502,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,0,282.872,NA,10.089,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,g,NA,1,27.593000000000018,images/zombie48.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,290.655,NA,2023-11-02_12h55.02.422,290.655,NA,NA,Tränende Augen,1,57,NA,2023-11-02_12h54.07.504,NA,60,NA,NA,287.989,287.989,NA,001,NA,Win32,0,282.873,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,1,296.622,NA,5.953000000000031,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,g,NA,1,4.604000000000042,images/zombie15.png
NA,NA,34,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,314.10499999999996,NA,2023-11-02_12h55.02.422,314.10499999999996,NA,NA,"Juckreiz,Verstopfung",2,50,NA,2023-11-02_12h54.07.504,NA,53,NA,NA,308.772,308.772,NA,001,NA,Win32,0,296.622,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,2,318.27299999999997,NA,4.156000000000006,NA,NA,NA,g,696929,Zombie_new,Zombie,space,NA,g,NA,1,11.637999999999977,images/zombie34.png
NA,NA,33,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,324.656,NA,2023-11-02_12h55.02.422,324.656,NA,NA,"Fieber, Gehirnhautentzündung, Geschwollene Drüsen, Hautausschlag",3,1,NA,2023-11-02_12h54.07.504,NA,4,NA,NA,322.239,322.239,NA,001,NA,Win32,0,318.27299999999997,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,3,332.589,NA,7.925000000000011,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,3.4499999999999886,images/zombie19.png
NA,NA,33,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,340.039,NA,2023-11-02_12h55.02.422,340.039,NA,NA,"Abszess, Fieber, Juckreiz, Tränende Augen",4,2,NA,2023-11-02_12h54.07.504,NA,5,NA,NA,338.722,338.722,NA,001,NA,Win32,0,332.589,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,4,342.673,NA,2.6230000000000473,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,5.6299999999999955,images/zombie27.png
NA,NA,34,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,347.989,NA,2023-11-02_12h55.02.422,347.989,NA,NA,"Abszess, Gehirnhautentzündung, Juckreiz, Tränende Augen",5,26,NA,2023-11-02_12h54.07.504,NA,29,NA,NA,346.68899999999996,346.68899999999996,NA,001,NA,Win32,0,342.673,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,5,349.122,NA,1.1289999999999625,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,3.497000000000014,images/zombie50.png
NA,NA,35,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,352.322,NA,2023-11-02_12h55.02.422,352.322,NA,NA,"Abszess, Fieber, Juckreiz, Tränende Augen",6,34,NA,2023-11-02_12h54.07.504,NA,37,NA,NA,351.407,351.407,NA,001,NA,Win32,0,349.123,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,6,352.839,NA,0.5029999999999859,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,1.7549999999999957,images/zombie43.png
NA,NA,35,NA,MZD,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,354.255,NA,2023-11-02_12h55.02.422,354.255,NA,NA,"Abszess, Gehirnhautentzündung, Juckreiz",7,24,NA,2023-11-02_12h54.07.504,NA,27,NA,NA,353.43899999999996,353.43899999999996,NA,001,NA,Win32,0,352.839,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,7,354.77299999999997,NA,0.5029999999999859,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,m,NA,1,0.09699999999998,images/zombie41.png
NA,NA,35,NA,keine schwere Krankheit,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,356.539,NA,2023-11-02_12h55.02.422,356.539,NA,NA,"Abszess, Fieber, Hautausschlag",8,38,NA,2023-11-02_12h54.07.504,NA,41,NA,NA,355.889,355.889,NA,001,NA,Win32,0,354.77299999999997,NA,NA,001,NA,NA,NA,NA,NA,NA,0,NA,8,356.839,NA,0.2980000000000018,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,g,NA,1,0.5980000000000132,images/zombie5.png
NA,NA,35,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,358.756,NA,2023-11-02_12h55.02.422,358.756,NA,NA,"Abszess, Fieber, Hautausschlag, Verstopfung",9,0,NA,2023-11-02_12h54.07.504,NA,3,NA,NA,357.705,357.705,NA,001,NA,Win32,0,356.839,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,9,359.989,NA,1.2210000000000036,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,0.35599999999999454,images/zombie45.png
NA,NA,35,NA,TS19,60.02400960382895,696929,NA,NA,2023.2.2,NA,NA,363.656,NA,2023-11-02_12h55.02.422,363.656,NA,NA,"Abszess, Gehirnhautentzündung, Tränende Augen",10,16,NA,2023-11-02_12h54.07.504,NA,19,NA,NA,362.822,362.822,NA,001,NA,Win32,0,359.989,NA,NA,001,NA,NA,NA,NA,NA,NA,1,NA,10,364.473,NA,0.8059999999999832,NA,NA,NA,t,696929,Zombie_new,Zombie,space,NA,t,NA,1,2.309000000000026,images/zombie53.png
